,Property ID,URL,Property Type,Address,City,State,ZIP Code,Country Code,Latitude,Longitude,Rental ID,Max Beds,Max Baths,Max Square Feet,Max Rent Price,Description
0,22700195,/WA/Auburn/Watermark/apartment/22700195,5,31655 Military Rd S,Auburn,WA,98001,1,47.3182728,-122.2852119,880f05a9-2c72-4c14-bff5-f9352e5a81f3,4,2.0,1342.0,2467.0,"Seize your chance to live in a brand new community in Auburn, WA, with easy access to Federal Way.  Picture coming home every day to the warm embrace of meticulous landscaping, comfortable homes, and "
1,209269,/WA/Auburn/4903-S-283rd-Pl-98001/home/209269,6,4903 S 283rd Pl,Auburn,WA,98001,1,47.3472057,-122.27189,bee76375-7820-4480-b0d2-f9c8206ec450,4,3.0,2650.0,4295.0,"Welcome to this beautiful home in the highly desirable Woodbrook neighborhood of Auburn, WA! This spacious 4 bedroom, 3 bathroom house features a den, perfect for a home office or study area. The full"
2,40265097,/WA/Auburn/27810-47th-Pl-S-98001/home/40265097,6,27810 47th Pl S,Auburn,WA,98001,1,47.3521109,-122.2748414,9100b73e-2cf1-4ffe-af01-3af2fa5a1126,3,2.5,1930.0,3147.0,"Offered By: Spinnaker Property Management Description: Located in the Woodbrook North Community, this home offers open concept living with hardwood floors throughout, the gourmet kitchen boasts a larg"
3,113179480,/WA/Auburn/3071-S-276th-Ct-98001/home/113179480,6,3071 S 276th Ct,Auburn,WA,98001,1,47.3534696,-122.2936263,efca4e59-e3f8-4636-a0ef-f6de4cf2d2a0,4,2.5,2623.0,4200.0,Avail Now. And just in time to enjoy summer with your neighborhood beach access to beautiful and refreshing Star Lake. Bring your paddleboard and floaties and walk from your home to the lake. Home is 
4,173657113,/WA/Auburn/5638-S-302nd-St-98001/home/173657113,6,5638 S 302nd St,Auburn,WA,98001,1,47.3312127,-122.2642411,19fd27a2-39d9-4481-8d12-47d7dd218599,4,2.5,2472.0,3750.0,"Welcome Home! This Space is sprawling with light and open floor space just waiting for you to make it your own. The large kitchen island is great for cooking and entertaining, while the gas fireplace "
5,212496,/WA/Auburn/29106-45th-Ave-S-98001/home/212496,6,29106 45th Ave S,Auburn,WA,98001,1,47.3405729,-122.2774756,86c24486-d6c4-4e89-889c-e359e0ed31ab,4,2.0,1880.0,2975.0,"Property Id: 874757 Clean and spacious split level home in established Auburn neighborhood that includes 3 bedrooms & 1 full bath up stairs. Another master bed room + 1 full bath, large family room w/"
6,22394081,/WA/Auburn/36201-52nd-Ave-S-98001/home/22394081,6,36201 52nd Ave S,Auburn,WA,98001,1,47.2766714,-122.2707786,ae01d56d-9042-4bc2-96ed-4c3a8ded7114,4,2.5,3351.0,4700.0,"**OPEN HOUSE June 10th 11am-12pm** Please confirm prior if you plan on attending to view the home.   Welcome to your dream home! This stunning 2-story, 4-bedroom, 2.5-bathroom residence offers everyth"
7,2062193,/WA/Auburn/717-A-St-NE-98002/apartment/2062193,5,717 A St NE,Auburn,WA,98002,1,47.3135596,-122.2283028,40f536bb-27ec-4139-ab5d-15035d7e6691,1,1.0,527.0,1195.0,
8,211136,/WA/Auburn/29611-40th-Pl-S-98001/home/211136,6,29611 40th Pl S,Auburn,WA,98001,1,47.3361984,-122.2838404,c75d07b4-8db3-4cdf-9a11-448aaa6331b3,4,3.0,1730.0,3500.0,Come and rent this amazingly remodeled home with 4 bedrooms and 2.75 bathrooms. Two primary suites. 3 bedrooms & 2 full baths upstairs; 1 bedroom and .75 bath downstairs; NEW Luxury Vinyl plank floori
9,179649466,/WA/Auburn/Legacy-Plaza-Senior-Living-Apartments/apartment/179649466,5,17 S Division St,Auburn,WA,98001,1,47.3070519,-122.2304185,f654e005-08b6-431e-9312-1ebf5a5d5ccb,2,1.0,888.0,2075.0,"Now Open! <BR>**Must be Age 61+ (or Age 55+ with a disability)**<BR><BR>Take Life to New Heights at Legacy Plaza!<BR>Sometimes, all it takes to make the most of life is a change of scenery. A move to "
10,69355720,/WA/Auburn/TREK/apartment/69355720,5,2 E Main St,Auburn,WA,98002,1,47.3071277,-122.2291971,9aa13460-8860-492d-9b5c-0ddd0ff2bfc8,2,2.0,821.0,2275.0,New Urban Style Apartment Community in Downtown Auburn<BR><BR>Welcome to Trek Apartments. We're bringing the urban living experience to the heart of downtown Auburn. Picture being just two-minutes fro
11,2091311,/WA/Auburn/Auburn-Glen/apartment/2091311,5,1902 A St SE,Auburn,WA,98002,1,47.2921914,-122.2284603,0b7d8ec3-5023-4941-88ab-c3695f0e7af7,2,2.0,934.0,2025.0,"Auburn Glen is a unique apartment community, featuring energy-efficient one, two, and three-bedroom luxury garden style apartment homes, designed especially for those who appreciate luxury living at a"
12,2061398,/WA/Auburn/Neely-Station/apartment/2061398,5,1433 8th St NE,Auburn,WA,98002,1,47.3159586,-122.2106545,d93fcc5b-9d22-46ac-8b6d-07770a3c9336,2,1.0,,1820.0,"ReNew Lea Hill offers spacious, renovated one-bedroom and two-bedroom apartment homes as well as three-bedroom townhomes. Our fully equipped kitchens feature modern appliances, including built-in micr"
13,2069660,/WA/Auburn/1602-B-St-SE-98002/apartment/2069660,5,1602 B St SE,Auburn,WA,98002,1,47.2938544,-122.2265114,a49479ff-d9ed-4e12-a13f-abf3def9d746,2,1.5,900.0,1795.0,
14,2084702,/WA/Auburn/717-F-Pl-NE-98002/home/2084702,4,717 F Pl NE,Auburn,WA,98002,1,47.3134614,-122.2234426,f480362b-951d-4515-8a7c-d6871a9e52c8,2,1.0,1012.0,1695.0,
15,213437,/WA/Auburn/1702-28th-St-SE-98002/home/213437,6,1702 28th St SE,Auburn,WA,98002,1,47.2839696,-122.2068955,008b3cd2-2b0a-47b7-b2ff-aed7797d26cc,3,1.0,1030.0,2795.0,Rare is it that an owner updates a rental to the exquisite taste of this beautiful rambler in Auburn Valley. Almost everything is brand new! This rambler is on a very nice sized lot in a superb neighb
16,2074857,/WA/Auburn/Brand-new-Luxury-Auburn-Apartments-1-month-free/apartment/2074857,5,128 E Main St,Auburn,WA,98002,1,47.3072527,-122.2279443,590048f1-9721-4124-884c-2e58c68c72d7,2,2.0,966.0,2695.0,"Welcome to Divine Court! Brand-new luxury studios, 1x1 and 2x2 bedroom apartments!  Divine Court is perfectly located in downtown Auburn in the Safeway parking lot next to Rainbow Cafe. Step outside a"
